Job Title,Company Name,Location,Posted Date,Job Description
Sales Development Representative,Runwise,"New York, NY",1 month ago,"Runwise is looking for a growth-minded Sales Development Representative (SDR) who wants to jump-start their career on our rapidly scaling and mission-driven sales team.

The Team

Runwise (www.runwise.com) is a fast-paced New York City-based energy startup that controls and runs heating systems in nearly 6,000 + buildings throughout the Northeast. Runwise’s unique hardware and software services significantly reduce energy usage - substantially lowering costs and carbon output. As of today, Runwise's technology takes the equivalent of 35,000 cars worth of carbon emissions off the road each year. Runwise works with the biggest owners and property managers in the Northeast and is backed by some of the most prestigious investors in the space.

The Role

As an SDR at Runwise, you will be charged with helping Runwise expand our footprint and find our next great customers. You will need to learn industry dynamics, and organization structures, and be a compelling voice to spark prospect interest. SDRs are responsible for making initial contact with target building owners and property managers and get to work with our talented team of Account Executives to convert over new customers. SDRs set the tone for the entire sales cycle and will learn how Real Estate teams make buying decisions.

The right candidate is someone who is goal oriented, thinks out of the box, has solid presentation skills, and is highly self-motivated. The right candidate also understands how to assess a company’s needs and specifically cater the outreach to each prospect.

Responsibilities


Identify key players, quickly assess business cases for Runwise, and formulate a pitch
Leverage a variety of data tools to locate contact information for an account
Utilize calls, emails, and other creative tactics to connect with accounts and drum up interest in Runwise
Work with Account Executives to make sure deals are moving through the sales funnel and more buildings are signing on with Runwise
Maintain clean systems and gain proficiency in CRM (Salesforce), automated email tools (Outreach), lead gen tools, city databases, and excel.


Qualifications

This entry-level position requires an aspiring self-starter and someone that can effectively process inquiries and identify qualified leads and opportunities. Relationship selling skills, with the ability to manage sales calls at varying levels of customer accounts, are essential.


0-3 years as an SDR or similar sales role.
Real estate or EMS solutions experience is a plus.
Exceptional communication skills, both oral and written, coupled with excellent listening skills and a positive and energetic phone presence.
Extremely self-motivated with a diligent work ethic.
Enthusiasm for personal career growth in a scaling company.
High level of integrity and a energetic commitment to building a successful company.
Ability to work independently as well as part of a team in a fast-paced environment.
Adept computer skills including proficiency with LinkedIn, Google Suite.
Experience with CRM applications preferred.


Salary range: $85,000- $100,000 on target earnings (65% salary and 35% commission) with uncapped commission and additional monthly sales contests.

What You Believe


No job is too small.
Sincerity builds trust.
Setbacks fuel progress.
Efficiency is vital.


Benefits


Medical, dental, and vision insurance
HSA & FSA options
Paid Parental Leave
Access to Talkspace & Health Advocate
Flexible PTO
Commuter Benefits
401K
Company paid life insurance
Voluntary supplemental life insurance
Free in-office lunch on Wednesdays
Hybrid work environment
Summer Fridays
Monthly L&D Series
Employee Resource Groups (e.g. DEIB Committee, Run Club)


Runwise is proud to be an equal opportunity employer. We are committed to equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. We celebrate and support diverse perspectives, skills, and experiences within our company.
Show less "
Sales Development Representative,Assembled,San Francisco Bay Area,2 days ago,"Assembled is building software to transform and elevate customer support teams, which often represent 20-50% of the people at a company. Our workforce management platform helps some of the fastest-growing, most innovative companies in the world—including Stripe, Etsy, and Robinhood—to schedule, forecast, and organize their support teams. We’ve raised $70m in funding from the likes of NEA, Emergence Capital, and Stripe itself. You’ll be joining a special group of people who learned the ropes at companies like Stripe, Google, Atlassian, Twitter, Airbnb, Looker, NEA, Bain, and more.




About The Role

As a Sales Development Representative (SDR), your primary role will be to enhance our outbound sales strategy and generate high-quality sales leads. You'll develop expertise in our product offerings and use that knowledge to provide valuable insights to potential clients. Generating Pipeline will be your core responsibility




Joining as a founding team member, we are seeking an individual who embodies an entrepreneurial spirit and is enthusiastic about contributing to our company's growth. You will report to our SDR Manager.




This is a hybrid role, expected to be in our San Francisco office three days a week.




What You’ll Be Doing

Increase pipeline through booking meetings with outbound leads
Hit daily and monthly outbound goals for cold calls and email outreach, balancing personalization at scale
Develop and execute strategies to penetrate target accounts, including identifying key stakeholders and crafting outbound campaigns
Be the first point of contact for new business prospects and determine the next steps for each lead
Conduct market research to identify new leads
Partner with Account Executives, Marketing and other stakeholders on outbound strategies and lead generating efforts




About You

Strong communication skills, both written and oral
An interest in technology and a desire to kick-off a career in tech sales
A team player, who is also a self-starter (we’re on a hybrid schedule in-office)
A strong work ethic, competitive spirit, and eagerness to grow
Demonstrated ability working with ambiguous problems
0-2+ years' experience working in a customer facing role - we’re open to candidates new to the workforce!




The estimated on target earnings for this role are $80,000-$95,000, with a base salary range of $60,000-$70,000. The base pay offered may vary depending on location, job-related knowledge, skills, and experience. Stock options are provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered.




Our U.S. benefits

Generous medical, dental, and vision benefits
Paid company holidays, sick time, and unlimited time off
Monthly credits to spend on each: professional development, general wellness, Assembled customers, commuting and community-support agriculture (CSA)
Paid parental leave
Hybrid work model with catered lunches everyday (M-F), snacks, and beverages in our SF & NY offices
401(k) plan enrollment
Show less "
Inside Sales Representative,Boston Celtics,"Boston, MA",3 weeks ago,"Summary:




Throughout the Boston Celtics’ storied history, they have long stood for equality and respect, including drafting the first Black player, hiring the first Black coach, and playing the first all-black starting five. The Celtics have won a record 17 NBA Championships spanning five (5) decades, including eight (8) in a row from 1959-1966, and winning their most recent in 2008. In addition, forty-one (41) former Celtics players, management, coaches, or staff have been inducted into the Naismith Memorial Basketball Hall of Fame. In December 2002, the team returned to

local ownership for the first time since 1963.




Are you goal oriented, and results driven? Do you thrive in a high energy, fast paced environment? Are you eager to learn and ready to make an impact? If so, we are looking for you! The Boston Celtics Inside Sales program is the perfect place to jumpstart your sports sales career. The 8-month long program is committed to training, developing, and advancing the next generation of sports industry leaders. In this role you will be responsible for selling season tickets, partial plans, single game suite rentals and premium inventory as well as cultivating the

Wait List. Revenue will be generated via phone calls, email marketing, face to face appointments, in-arena tours, and out-of-office meetings. This role will report to the Inside Sales Manager.




Responsibilities:




Sell a full menu of Boston Celtics products with a focus on season tickets, mini plans, suite rentals, and premium memberships as well as the Wait List
Execute a minimum of 100 sales touchpoints per day via phone call, email, and face-to-face meetings
Develop and manage a sales pipeline of qualified leads through cold calling, networking events, referrals, self-prospecting, and targeted campaign outreach
Meet and exceed established revenue and productivity metrics
Utilize in-game selling events to drive new business opportunities for a full menu of products
Maintain detailed records of all client accounts in Archtics and Salesforce
Participate and engage at a high level in individual and group training sessions to build, maintain and improve sales skills
Support Account Executives, Group Sales and Member Experience as needed
Deliver industry leading customer service to all clients




Qualifications:




Bachelor's degree
Experience with a professional sports team, minor league team or college athletic department a plus
High comfort level making cold calls and consistent outbound sales efforts
Ability to efficiently communicate both written and verbal
Strong time management and organization skills coupled with an attention to detail
Excellent teammate who values integrity and respect in the workplace
Self-motivated with an aim to succeed personally and professionally
Demonstrates critical thinking and proactive decision making to embrace challenges and overcome obstacles
Coachable and willing to take and implement feedback
Goal oriented with a strong work ethic
Ability to work extended and flexible hours, including evenings, weekends, and holidays
Work all assigned sales and team events during games and outside of normal business hours




Banner Seventeen, LLC is an Equal Employment Opportunity Employer. All employees and applicants for employment are afforded equal opportunity in every area of hiring and employment without regard to race, color, religion, creed, sex, pregnancy (and pregnancy related conditions), gender identity or expression, citizenship status, national origin, ancestry, sexual orientation, age, physical or mental disability, genetic disposition or carrier status, marital status, familial status, status as a victim of domestic violence, military or veteran status or any other category protected under applicable federal, state or local law.

Show less "
Sales Development Representative,Flowhub,United States,2 months ago,"At Flowhub, we're about more than technology — we're on a mission to make legal cannabis accessible to everyone. Founded in 2015, Flowhub pioneered the first Metrc API integration to help dispensaries stay compliant. Today over 1,000 dispensaries trust Flowhub's point of sale, inventory management, business intelligence, and mobile solutions to process $3B+ cannabis sales annually.

As a Sales Development Representative (SDR), you will generate qualified opportunities from inbound and outbound leads. The SDR role will support the marketing and sales department.

Leads come from both new and existing customers, meaning businesses starting a dispensary for the first time and those that have been around awhile and want to improve their existing dispensary management software. Outbound prospecting includes supporting a geographical territory that is aligned to one of our AEs, and calling, emailing, and creatively prospecting into new and existing dispensaries to generate qualified meetings and pipelines.

Who you are:


Disciplined: Organized, process-driven, structured, and methodical with prospecting
Relationship builder: Loves talking to people across all walks of life, easily relatable
Resilient: Will not give up and finds a way to persevere through
Lead the Dance: Consultative and helps buyers navigate through new waters
High Integrity: Does the right thing, even when no one is looking
Mission Driven: Believes in our mission and evangelizes to others
Adaptable: Thrives in constantly changing environments, and the industry develops
Low-ego: Not afraid to make mistakes, high accountability, chill vibes



Responsibilities:


You will be the first point of contact, building relationships with customers and potential customers.
Create and conduct effective outreach plans by leveraging sales content.
Follow up on inbound marketing-generated leads from the website, trade shows, and other marketing programs to qualify prospects and book demos for AEs using a combination of personalized channels such as phone, email, SMS, social media, video, etc. - maintain SLA
Monitor, manage, and document activity in CRM. Effectively leverage sales tools.
Support Account Based Marketing (ABM) initiatives, including direct mail, roadshow campaigns, and tradeshows
Collaborate with sales team on account strategy, demand generation activities, communication plans, and results



Salary Range: $55,000 base salary & $67,000 OTE.

This role is open to anyone in the United States with a preference for candidates not located in CA or NY. This role is eligible for a competitive benefits package that includes medical, dental, vision, life & disability insurance, 401(k) retirement plan, paid holidays, unlimited paid time off, and other benefits.
Show less "
Sales Development Representative,Klook,"Los Angeles, CA",1 month ago,"What you'll do:

Acquisition and Account Management: Acquire a diverse range of affiliate partners. Cultivate relationships with partners to help maximize their potential on Klook. Communicate Klook’s business strengths and brand value, and create partner success plans for long-term sustainable partnerships.
Optimization: Research, identify, and prioritize partnership opportunities
Market Intelligence: Provide market leaders with relevant information on identifying market trends and competitor updates.




What you'll need:

A bachelor degree in any discipline
0-2 years of experience in sales or business development with basic understanding of basic metrics in the digital marketing
Passion for sales, marketing, and travel partner commercial activities
Ability to manage projects and multi-task with good communication skills
Comfortable with Excel, Google Docs, Salesforce CRM, and other technology tools
Comfortable with data analysis and reporting
Strong internal and external communicator with strong interpersonal skills
Comfortable with a fast-paced environment and changing requirements

Show less "
Sales Development Representative,CivicPlus,United States,3 weeks ago,"If you are looking to break into tech sales or bring your sales experience to a home for long term growth, you have come to the right place! Whether you are a recent grad, changing careers or looking to expand your sales career, our team has a rich history of developing and building successful sales professionals.




How do we do it? Every employee is unique, and our leadership team coaches you to build a solid fundamental foundation and empowers you to build on your strengths to find your sales voice. Our team is competitive and loves to challenge each other but is also collaborative and supportive by sharing best practices and working together as a team. If you want to spend your day with peers who are committed to succeed, hungry to be coached, and have the mental toughness to embrace the grind, then we want to talk to you.




Our ideal candidate is an individual looking for a rapid growth path through our SDR ranks from SDRI to SDRIII in 12-18 months, while they learn our industry and business and earn a promotion to an Account Executive, Account Manager or Sales Engineer role. This is a remote role and a qualified candidate must have prior proven success in a remote setting.




Responsibilities:

Targeted outbound cold calling to government agencies to drive opportunities for the Account Executive team
Manage a pipeline of target prospects and learn to analyze and diagnose KPIs to drive performance efficiency
Consistently achieve monthly qualified meeting quota




What’s a day like as an SDR with our Team?

Each day you will make 50 outbound calls and 20 emails to target prospects for the products your team is focused on and book meetings for Account Executives
Unlike many sales organizations, we distribute the best accounts for you to target so you don’t have to waste time hunting and searching for places to call
Tons of opportunities to collaborate with your peers in morning huddles, call reviews, and team syncs
1:1 weekly syncs with your manager and individual coaching sessions




What makes it exciting?

Hear your teammates give you shoutouts for big wins in our Sales Sync
Beat Mike in ping pong or Isaac in foosball in the Durham office, or win virtual SDR Team Bingo for a prize
Give virtual Tacos to your peers every day so they can buy cool swag
Challenge yourself to earn various spiffs throughout the year
Drive yourself to be a top earner on our team with an uncapped commission structure
Join team lunch, happy hours and holiday events
Get involved with one of our committees (DEIB, Great Workplace, Community Engagement, Wellness, Employee Resource Groups)
Hybrid work schedule – get the best of both worlds
Snacks and beverages provided in the office




Compensation and Benefits:

Base Salary: $45,000 annually based on a full-time, 40-hour work week
Potential Variable Pay: $25,000 based on set goals
Benefits: Comprehensive health insurance, dental insurance, vision insurance, Flexible Time Off, 401(k) plan, and more




About CivicPlus:

CivicPlus® is a trusted technology company dedicated to empowering government staff and powering exceptional digital experiences for residents. With a comprehensive suite of solutions that combine to form THE Modern Civic Experience Platform, we strive to create one-stop, frictionless, interactions that delight residents and help staff collaborate and work efficiently. As a result, government administrations that choose CivicPlus realize greater trust and satisfaction among their community members. Backed by over 25 years of experience and leveraging the insights of roughly 850 team members, our solutions are chosen by over 10,000 clients and are used daily by over 340 million people in the U.S. and Canada alone.




PLEASE NOTE: CivicPlus is unable to sponsor visas at this time. You must be a US Citizen or Permanent Resident authorized to work in the US.




All applicants will be subject to a background and reference check.




Equal Opportunities

CivicPlus is an equal opportunity employer and value diversity at our company. We desire to have our employees reflect the diverse communities we serve and we recognize that diverse and inclusive teams lead to more innovation and better financial returns. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.




Please be aware of scammers who may fraudulently allege to be from CivicPlus. These types of fraud can be carried out through copycat websites, fake email addresses claiming to be from our company, or social media. We do not ask for your personal information such as bank account numbers, identification numbers, etc through social media or chat-based apps, nor do we request or send money for the purchase of business equipment or request interviews via text message. If you suspect fraud, please report it to your local authorities, as well as reaching out to us at Recruiting@civicplus.com with any information you may have.

Show less "
Sales Development Representative,WorkWave,United States,1 month ago,"The Business Development Representative position is responsible for providing qualified leads to the sales organization and accelerating the process from prospect to customer.

WHAT YOU'LL DO:


Use a variety of approaches to prospecting into a list of target accounts including cold calling, social media, SalesLoft and email
Nurture prospects at different stages of interest in order to gain trust and build a relationship over time
Develop relationships with key decision makers
Respond quickly to inbound leads/inquiries
Provide qualified leads to the sales organization and accelerate the process from prospect to customer
Gather information to accurately qualify prospects as sales opportunities and ensure that we provide a solution to their top business challenges
Decision making authority
Pain points
Key contacts
Budget
Manage time to meet individual goals to help the department succeed
Collaborate with Regional Sales Managers, Solution Engineers, Customer Success Managers, and Marketing team members to meet organizational goals
Complete and maintain data entry into CRM systems to reflect activity



WHAT YOU'LL BRING:


1 to 3 years of professional sales experience, preferably business-to-business
Ability to learn quickly and exceed expectations
Strong organizational and interpersonal skills
Professional speaking voice with strong phone etiquette skills
A positive and determined attitude
Time and task management skills
Excellent written and verbal communication skills
Engaging and articulate phone conversation skills
Highly motivated
Experience with detail-oriented tasks and processes in an office setting
Experience with CRM products (i.e., Microsoft Dynamics, Sugar, SalesLoft, SalesForce)



WHAT YOU SHOULD KNOW ABOUT US:


We are laid back but buttoned up. We offer a casual work environment and remote work flexibility and have a passion for developing creative, innovative best in class solutions that directly contribute to the success of our customers
We care deeply and deliver service and solutions that make a real difference in the lives of our clients and their businesses
We openly accept others as they are and build strong partnerships based on trust
Teamwork and collaboration is key to help our colleagues and customers solve their challenges
Our team is energetic, fun, naturally inquisitive and eager to make an impact, we invite you to join us!



A GLOBAL COMPANY WITH A LOCAL PRESENCE:


We know that there are benefits of being in the office and working from home. WorkWave promotes a healthy work/life balance and provides employees with the flexibility of collaborating in the office or the option to work virtually if desired
We have employees in over 30 states, 7 countries and many regional offices - each with their own set of perks and opportunities to give back to the local community
Whether you work remotely or take advantage of one of our offices, you’ll find a community of WorkWavers that value diversity, and care deeply about our products, clients, our communities and each other



LOVE WHAT YOU DO, NO MATTER WHERE YOU DO IT:


Our HQ is based at our state of the art home office in the historic Bell Works complex located in Holmdel Township, New Jersey
With everything you could find in a great downtown -- from restaurants and retail to art and culture the Bell Works “Metroburb” is a microcosm of innovation, possibility, and inspiration and WorkWave is proud to be a part of it
Pharmacy, urgent care, bank, restaurants, florist, gym, dentist, outdoor patio bar and weekly farmers market all conveniently located on the first floor - making running errands on a break a breeze
We work hard but play hard too...need a break? When in the office kick back in our common area, play a game of arcade basketball, video games in our game rooms or face off in a ping pong match



WORKING REMOTE? Great! Our teams are well versed at working collaboratively in a fully virtual environment. We keep our offices available to all to use when working remotely isn’t feasible, or to help with cross training, team building and/or brainstorming.

RELAX, WE'VE GOT YOU COVERED:


Employees can expect a robust benefits package, including health and dental and 401k with company match



AND BEYOND...


Find your perfect work/life balance with our Flexible Time Off policy or generous PTO plan (role dependent) and paid holidays
Up to 4 weeks paid bonding leave
Free subscription to the Calm App for you and up to 4 dependents!
Tuition reimbursement
Robust Employee Assistance Program through TotalCare offering free counseling 24/7/365, plus financial counseling, legal guidance, adoption assistance services and much more!
24/7 access to virtual medical care with Teladoc
Quarterly awards based on peer nominations
Regional discounts and perks
Opportunities to participate in charitable events and give back to the community



GROW WITH US:


We understand the impact of attracting and keeping top talent and reward intellectual curiosity and a thirst for personal and professional growth
Encouraging our employees that already have an intimate knowledge of and passion for our products to apply for other roles within our walls just makes sense!
Our employees have access to extensive video libraries for soft skill and role specific training available 24/7 and live trainings are provided throughout the year



JOIN OUR WINNING TEAM!


10 Time winner of Best Place to Work in New Jersey by NJBiz!
WorkWave has been recognized with multiple awards for its outstanding products, growth and culture, including the Inc. 5000, SaaS Award, IT World Awards, Globe Awards, Silver Stevie Award for Employer of the Year, and Best Place to Work Inc. Magazine
Recently named one of The Software Report's 3rd annual list of the Top 100 Software Companies of 2022 (worldwide!)



We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, age, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status: Don't meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. At WorkWave, we are dedicated to building a diverse, inclusive and authentic workplace, so if you feel like you could make a great impact in this role but your past experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyway. You may just be the right candidate for this or other roles!

WorkWave supports salary transparency, however please note that salary estimates provided by websites (LinkedIn, Glassdoor, etc.) and not by WorkWave may not accurately reflect the actual salary range for the position.

In our dedication to salary transparency, we provide a compensation range for sales roles, which is $45,000 in addition to commission. The final offer will be dependent on various factors, including the candidate's qualifications, relevant experience, and the organization's budget. Our Talent Acquisition team will provide more information about the compensation package for this position during the interview process.


Show less "
Sales Development Representative (SDR),Swell,"Salt Lake City, UT",6 days ago,"Swell is looking for energetic and motivated people to join our Sales Development team. We are looking for tenacious individuals that pursue their goals and uplift those around them to do so as well. We want people who create a better work environment for everyone else. We want those who are invested, and want to see themselves and the company succeed and grow together.

The Sales Development team at Swell is an outbound sales model that focuses on prospecting new clients and setting appointments for account executives. We are part of a dynamic sales organization that thrives on success. We have a lucrative pay plan that rewards production. In addition, we have a clearly defined career path to help you grow into your next position.

Swell is an Equal Opportunity Employer. We are fully committed to diversity and maintaining a healthy work environment that is free from harassment and discrimination. All employment decisions at Swell are based on business needs, job requirements, and individual qualifications without regard to race, sex, color, religion or belief, family or parental status, or any other status protected under federal, state, or local law.

You will be responsible for many tasks, but not limited to:


Generating, nurturing, and qualifying new business through prospecting
Qualify warm leads from specific marketing campaigns
Achieving Quota and improving your craft
Work closely with Account Executives to close qualified opportunities, and ultimately achieve sales targets



Requirements


Positive mindset
Highly motivated
Sales experience
Coachable & Accountable
Results driven
Strong people skills with solid communication skills
Collaborative, team-based attitude
Problem solver
Willingness and ability to work in-office at our Holladay, UT, location



Benefits


Competitive compensation plus stock options
100% Employer-paid Medical, Dental, and Vision insurance
Supplemental Disability and Life insurance
Flexible Unlimited PTO Policy
Quarterly Mental Health Awareness Days
Gym Access
Company meals
Phone allowance
Show less "
Inbound Sales Development Representative - AMER,Notion,"San Francisco, CA",1 month ago,"About Us

We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.

We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).

About The Role

We're seeking a motivated Sales Development Representative with an entrepreneurial and building spirit to join our founding sales team! As an early team member, you'll be instrumental in helping define our sales motion, meaningfully shape our future product, and drive business revenue, all while having a blast doing it!

What You'll Achieve


Handle inbound requests from prospective customers interested in buying Notion
Organize and take thorough notes on prospects.
Qualify those prospects to determine whether or not they’re a good fit for Notion
Prospect and develop new potential accounts by educating contacts about how they can increase their team's collaboration, transparency, and productivity with Notion
Experiment with different audiences, messaging, and channels to generate Enterprise opportunities
Reach out to prospects via email, phone, and LinkedIn to educate them on our product/service
Hold face-to-face and Zoom meetings with prospective customers to understand their business challenges and goals
Help build playbooks and define our sales motion
Hold ownership over pipeline generation tactics and strategic approaches
Learn about our product inside and out and be able to give demos customized to the needs of different personas
Collaborate and influence on performance initiatives, product launches, and service innovation when working with cross-functional partners
Work with our Global and regional Marketing team to build strong program feedback loops
Work with our global GTM team to hit revenue & pipeline generation targets

Skills And Toolset You'll Need To Bring


You have 1 yr+ of professional experience in saas tech or a high-growth environment
Engaging and compelling customer skills - high cognitive empathy and ability to craft stories tailored to the customer
Experience making cold calls to decision makers
A track record of high achievement in current and previous roles hitting or exceeding quotas
A builders mentality who thrives in collaborative environments
A tireless positive attitude with strong grit, especially when navigating unchartered territories
A passion for customers and a natural empathy for their needs
A love for getting to know new people and helping them solve their business problems
You are energized to be part of the building phase for the revenue team in a hypergrowth company
You can put yourself in others’ shoes and see situations from perspectives other than your own



Nice To Haves


You've got strong technical chops — comfort with speaking about technical implementations



We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.

Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.

Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco, the estimated hourly rate for this role is $28.61 - $33.65 per hour with a 30k annual commission target, annualized to salary range of $85,000 - $100,000 per year.


Show less "
Sales Development Representative,Slang.ai,"New York, NY",11 months ago,"We're hiring Sales Development Representative to help us accelerate our sales growth and drive revenue. Sales Development Representatives will be the foundation of the sales process at Slang, and you will play a major role in shaping the culture of the sales team and creating processes that will scale for many future reps. As we rapidly expand our sales team, this role will be crucial to helping us move faster by serving as the conversation starter for prospective customers including inbound and outbound channels. The primary focus of Slang’s Sales Development Representative is to generate new business opportunities by building a pipeline of qualified leads and scheduling sales calls.

Responsibilities


Utilize cold calls, email, social networking platforms, and other channels to generate new sales opportunities
Book meetings and calls between prospective customers and Account Executives
Identify the needs of prospects and communicate those pain points to Account Executives
Achieve key activity (e.g., calls, emails, meetings set) and other performance metrics
Collaborate with Slang’s Head of Marketing, VP of Sales, and Account Executives to create and execute lead generation campaigns



Qualifications


One or more years of experience in SaaS sales
Strong verbal (phone) and written (email) communication skills
Proven track record of exceeding targets
Strong desire and ability to move up within a sales organization
Comfortable wearing many hats and operating in an ambiguous environment



Bonus Points


Experience in the restaurants, ecommerce, or hospitality space
Experience with Hubspot or Salesforce
Start up experience



Benefits

Competitive pay

Generous equity

Healthcare fully compensated

Generous vacation

Our Vision

Calling a business shouldn’t feel like a robot-hostage situation, where you’re forced to listen to horrible music and can't reach a human, while enduring a soulless voice uttering ""I'm sorry I didn't quite get that"" on repeat for eternity. (shudder) That’s why we started Slang.ai. We use the latest AI and audio wizardry to make transacting via voice so enjoyable it’s more human than human. By 2030, we will save businesses and consumers 1 billion minutes of precious time while transforming voice channels into the preferred mode of communication (it's faster and easier than text).

We have backgrounds building product at companies like Spotify, Buzzfeed, the New York Times, and OpenTable —shipping experiences that have reached hundreds of millions of users. Now, we’re using our backgrounds to start a new culture, one that puts product and human-centered design above all else while fostering constant learning and growth. Sound like something you’d like to be part of? Get on board.

Our Values

Overachiever Fever. We’re overachievers (we don’t know any other way)

Learner Fervor. We take every opportunity to learn (especially when it’s hard)

Humility Ability. We approach each other with curiosity and openness (know-it-alls not welcome!)

SMB MVP. We’re an expert member of our customers’ teams (we earn their trust)

Base salary. OTE will also be a component for the Sales Development Representative role.
Show less "
